individual id,full cycle,sex,date,jday,recaptured,SKL (mm),BCW (mm),BCH (mm),tooth row (mm),SKLcor,BCHcor,BCWcor
2014-06-10-1,n,NA,6/10/14,9,n,21.355,10.473,6.473,7.163,2.981292754,0.903671646,1.462096887
2014-06-11-1,n,NA,6/11/14,10,n,19.609,NA,5.84,6.849,2.8630457,0.852679223,NA
2014-06-11-2,n,NA,6/11/14,10,n,20.476,9.98,6.2,7.151,2.863375752,0.867011607,1.395609006
2014-06-16-2,n,NA,6/16/14,15,n,20.823,10.023,6.405,6.93,3.004761905,0.924242424,1.446320346
2014-06-17-2,n,m,6/18/14,17,y,20.282,10.005,6.274,7.089,2.861052335,0.88503315,1.411341515
2014-06-17-5,n,m,6/18/14,17,n,20.301,9.906,6.511,7.182,2.826649958,0.906571986,1.379281537
2014-06-18-2,n,NA,6/19/14,18,n,20.863,10.178,6.538,7.222,2.888811963,0.905289394,1.409304902
2014-06-25-3,n,NA,6/25/14,24,n,20.725,10.17,6.989,7.512,2.758919063,0.930378062,1.353833866
2014-06-25-4,n,NA,6/25/14,24,n,20.343,10.108,6.293,6.942,2.930423509,0.906511092,1.456064535
2014-06-26-1,n,NA,6/26/14,25,n,20.867,10.162,6.501,7.152,2.917645414,0.90897651,1.420861298
2014-06-26-2,n,NA,6/26/14,25,n,20.589,10.515,6.541,7.122,2.890901432,0.918421792,1.47641112
2014-06-30-2,n,NA,6/30/14,29,n,21.233,10.326,6.606,7.18,2.95724234,0.92005571,1.43816156
2014-06-30-3,n,NA,6/30/14,29,n,21.197,10.341,7.041,7.431,2.852509756,0.947517158,1.391602745
2014-06-30-4,n,m,6/30/14,29,y,20.349,10.202,6.396,7.095,2.86807611,0.901479915,1.437914024
2014-07-01-1,n,f,7/1/14,30,y,20.127,10.178,6.63,7.156,2.812604807,0.926495249,1.422302963
2014-07-01-2,n,m,7/1/14,30,n,21.7,10.44,6.762,7.637,2.841429881,0.885426214,1.367028938
2014-07-01-4,n,m,7/1/14,30,y,20.745,9.897,6.406,7.2,2.88125,0.889722222,1.374583333
2014-07-01-5,n,m,7/1/14,30,n,20.877,10.08,6.795,7.12,2.932162921,0.954353933,1.415730337
2014-07-01-7,n,f,7/1/14,30,n,20.309,9.602,6.586,6.98,2.909598854,0.943553009,1.375644699
2014-07-01-8,n,f,7/1/14,30,n,20.004,9.596,6.168,6.969,2.870426173,0.885062419,1.376955087
2014-07-02-1,n,f,7/2/14,31,n,20.279,9.606,6.317,6.926,2.927952642,0.912070459,1.386947733
2014-07-02-2,n,m,7/2/14,31,y,20.309,9.982,6.404,7.066,2.874186244,0.906311916,1.412680442
2014-07-02-3,n,f,7/2/14,31,n,20.31,10.055,6.688,7.023,2.891926527,0.952299587,1.431724334
2014-07-02-4,n,m,7/2/14,31,n,20.376,9.68,6.541,7.197,2.831179658,0.90885091,1.345004863
2014-07-02-5,n,f,7/2/14,31,n,20.225,NA,6.591,6.99,2.89341917,0.942918455,NA
2014-07-02-6,n,m,7/2/14,31,n,20.665,9.904,5.985,6.997,2.953408604,0.855366586,1.41546377
2014-07-03-1,n,m,7/3/14,32,y,20.477,9.944,6.966,7.372,2.777672273,0.94492675,1.348887683
2014-07-03-2,n,f,7/3/14,32,y,20.625,10.122,6.369,7.351,2.805740716,0.866412733,1.376955516
2014-07-03-4,n,f,7/3/14,32,n,20.435,10.008,6.401,7.045,2.900638751,0.908587651,1.420581973
2014-07-28-3,n,f,7/28/14,57,n,19.837,9.95,6.093,6.925,2.864548736,0.879855596,1.436823105
2014-07-28-4,n,f,7/28/14,57,n,20.056,NA,6.004,6.97,2.877474892,0.861406026,NA
2014-07-30-6,n,f,7/30/14,59,y,20.229,10.156,6.194,7.094,2.851564703,0.873132224,1.431632365
2014-07-30-7,n,m,7/30/14,59,n,20.213,9.839,6.425,6.926,2.918423332,0.927663875,1.420589085
2014-07-31-4,n,f,7/31/14,60,n,20.305,9.987,6.378,7.043,2.883004402,0.905580009,1.418003692
2014-07-31-5,y,f,7/31/14,60,y,20.318,10.054,6.555,7.095,2.863706836,0.923890063,1.417054264
2014-08-05-1,y,m,8/5/14,65,y,20.867,10.543,6.639,7.115,2.93281799,0.933099086,1.481799016
2014-08-08-1,n,m,8/8/14,68,y,19.656,9.817,6.37,7.134,2.755256518,0.892907205,1.376086347
2014-08-08-2,n,f,8/8/14,68,y,19.882,9.569,6.473,7.073,2.810971299,0.915170366,1.352891277
2014-08-11-1,n,m,8/11/14,71,n,19.772,NA,5.968,6.857,2.883476739,0.870351466,NA
2014-08-11-2,n,m,8/11/14,71,n,20.267,NA,6.318,6.971,2.907330369,0.906326209,NA
2014-08-11-3,n,f,8/11/14,71,n,20.184,NA,6.022,6.994,2.885902202,0.861023735,NA
2014-08-12-1,n,f,8/12/14,72,n,20.605,NA,6.508,7.19,2.865785814,0.905146036,NA
2014-09-02-2,y,f,9/2/14,93,y,20.319,10.552,6.234,6.975,2.91311828,0.893763441,1.512831541
2014-09-02-3,n,m,9/2/14,93,n,20.081,NA,6.071,6.94,2.89351585,0.874783862,NA
2014-09-02-4,y,f,9/2/14,93,y,20.279,10.34,6.302,7.084,2.862648221,0.88961039,1.459627329
2014-09-03-1,n,m,9/3/14,94,y,20.665,NA,6.438,7.32,2.823087432,0.879508197,NA
2014-09-03-2,n,m,9/3/14,94,n,20.678,NA,6.075,7.052,2.932217811,0.861457742,NA
2014-09-04-1,n,m,9/4/14,95,n,19.47,NA,5.628,6.773,2.874649343,0.830946405,NA
2014-09-04-2,n,f,9/4/14,95,y,20.223,10.017,6.303,7.132,2.835530006,0.88376332,1.404514863
2014-09-11-1,n,NA,9/11/14,102,n,20.387,10.044,6.297,7.262,2.807353346,0.867116497,1.383090058
2014-09-11-2,n,NA,9/11/14,102,n,19.923,10.047,5.844,6.957,2.863734368,0.840017249,1.444156964
2014-09-11-3,n,f,9/11/14,102,y,20.225,10.026,6.319,6.897,2.932434392,0.916195447,1.453675511
2014-09-11-4,y,m,9/11/14,102,y,20.322,9.769,6.05,7.076,2.87196156,0.855002826,1.38058225
2014-09-11-5,n,NA,9/11/14,102,n,20.313,9.954,6.132,7.048,2.882094211,0.870034052,1.412315551
2014-06-27-1,y,NA,9/12/14,103,y,20.355,NA,6.156,7.339,2.773538629,0.838806377,NA
2014-09-12-1,n,m,9/12/14,103,y,20.198,10.425,5.958,7.152,2.824105145,0.833053691,1.457634228
2014-06-17-2,n,m,9/29/14,120,y,20.054,10.027,5.999,7.122,2.815782084,0.842319573,1.407891042
2014-07-03-2,n,f,9/29/14,120,y,20.584,10.335,6.197,7.42,2.774123989,0.835175202,1.392857143
2014-09-29-1,y,m,9/29/14,120,y,20.324,9.5,6.18,7.356,2.762914628,0.840130506,1.291462751
2014-09-29-2,y,f,9/29/14,120,y,20.236,9.786,6.22,7.121,2.841735711,0.873472827,1.37424519
2014-09-29-3,n,NA,9/29/14,120,n,20.426,9.9,6.426,7.092,2.880146644,0.906091371,1.395939086
2014-10-01-1,n,m,10/1/14,122,y,20.573,10.245,6.183,7.323,2.809367745,0.844326096,1.399016796
2014-07-03-2,n,f,10/2/14,123,y,20.572,10.307,6.187,7.406,2.777747772,0.835403727,1.391709425
2014-09-02-2,y,f,11/5/14,157,y,20.307,10.033,5.795,7.006,2.898515558,0.827148159,1.432058236
2014-08-08-1,n,m,11/13/14,165,y,19.916,9.629,5.921,7.146,2.787013714,0.828575427,1.347467114
2014-08-08-2,n,f,11/18/14,170,y,19.734,9.717,5.655,7.089,2.783749471,0.797714769,1.370715193
2014-11-18-1,n,m,11/18/14,170,y,19.894,9.941,5.703,7.228,2.752351965,0.789014942,1.375345877
